#category	#chromosome	#contig_1	#contig_2	#window	#interactions per 100kb
proximal_heterochromatin	centromere_3	3R_5	tig00000039	0-42086	5224.659055536227
distal_heterochromatin	centromere_3	3R_5	3L_10	1300000-1333836	2985.974993301425
proximal_heterochromatin	centromere_3	3R_5	Contig86	0-30087	1555.7760359098002
inter-proximal_heterochromatin	centromere_3	3R_5	Contig142	0-50000	1398.4801641191598
proximal_heterochromatin	centromere_3	3R_5	id=139401_0	0-11405	1393.4081584225019
proximal_heterochromatin	centromere_3	3R_5	tig00022795	0-30745	1143.4259952759307
proximal_heterochromatin	centromere_3	3R_5	3Cen_50_D1686_1	0-5642	495.0563214822278
euchromatin	centromere_3	3R_5	X_7	100000-150000	394.8876496479721
proximal_heterochromatin	centromere_3	3R_5	3R_1	0-27264	314.40549512865636
proximal_heterochromatin	centromere_3	3R_5	3Cen_36_D1605_2	0-9663	308.9864314997649
proximal_heterochromatin	centromere_3	3R_5	3Cen_27_D1777	0-11973	305.68231135141343
proximal_heterochromatin	centromere_3	3R_5	3R_4	0-2314	291.35627754029605
proximal_heterochromatin	centromere_3	3R_5	3Cen_36_D1605_1	0-27124	223.70542088387427
proximal_heterochromatin	centromere_3	3R_5	3R_2	0-3452	223.2075571025476
proximal_heterochromatin	centromere_3	3R_5	3R_6	0-45849	220.571362372651
proximal_heterochromatin	centromere_3	3R_5	3R_3	0-13549	206.14862837129894
centromere	centromere_3	3R_5	Contig119	0-50000	202.25952786847353
inter-proximal_heterochromatin	centromere_3	3R_5	Contig102	0-4967	193.90791401197765
centromere	centromere_3	3R_5	Contig119	50000-93914	190.812116805761
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2250000-2300000	159.88134107698383
proximal_heterochromatin	centromere_3	3R_5	Contig11	300000-338657	159.4562407052786
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2200000-2250000	138.692247681239
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2750000-2800000	134.839685245649
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1200000-1250000	123.2819979388791
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2050000-2100000	117.50315428549415
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1950000-2000000	107.8717481965192
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2550000-2600000	107.8717481965192
inter-proximal_heterochromatin	centromere_3	3R_5	Contig95	0-17404	105.14635468313242
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2650000-2700000	102.09290454313425
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1800000-1850000	98.24034210754428
proximal_heterochromatin	centromere_3	3R_5	Contig11	0-50000	96.3140608897493
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2600000-2650000	90.53521723636433
proximal_heterochromatin	centromere_3	3R_5	id=67822_0	0-14294	87.59499031528898
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	450000-500000	86.68265480077436
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1650000-1700000	82.83009236518438
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2500000-2550000	80.9038111473894
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	200000-250000	78.97752992959443
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2800000-2808589	78.49556714730993
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2150000-2200000	75.12496749400445
inter-proximal_heterochromatin	centromere_3	3R_5	Contig96	0-19727	73.23520623238402
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2300000-2350000	73.19868627620947
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	250000-300000	73.19868627620947
distal_heterochromatin	centromere_3	3R_5	3L_10	550000-600000	71.27240505841448
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1100000-1150000	71.27240505841448
distal_heterochromatin	centromere_3	3R_5	3L_10	1150000-1200000	69.3461238406195
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	0-50000	67.4198426228245
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1900000-1950000	67.4198426228245
inter-proximal_heterochromatin	centromere_3	3R_5	Contig103	0-7153	67.32424219890207
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1850000-1900000	65.49356140502952
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2450000-2500000	65.49356140502952
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2350000-2400000	63.56728018723454
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1750000-1800000	61.64099896943955
proximal_heterochromatin	centromere_3	3R_5	id=102159_0	0-20774	60.27162759058153
proximal_heterochromatin	centromere_3	3R_5	3Cen_50_D1686_2	0-14583	59.4408933695223
distal_heterochromatin	centromere_3	3R_5	3L_10	1250000-1300000	57.78843653384958
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	850000-900000	57.78843653384958
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	650000-700000	57.78843653384958
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2100000-2150000	55.86215531605459
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1250000-1300000	53.9358740982596
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	100000-150000	53.9358740982596
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	50000-100000	53.9358740982596
distal_heterochromatin	centromere_3	3R_5	3L_10	800000-850000	52.009592880464616
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	0-50000	52.009592880464616
proximal_heterochromatin	centromere_3	3R_5	Contig11	250000-300000	52.009592880464616
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	550000-600000	50.08331166266963
inter-proximal_heterochromatin	centromere_3	3R_5	Contig83	0-15769	48.8624825364953
distal_heterochromatin	centromere_3	3R_5	3L_10	1000000-1050000	48.15703044487465
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1450000-1500000	48.15703044487465
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	800000-850000	48.15703044487465
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	350000-400000	48.15703044487465
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2700000-2750000	46.23074922707966
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	950000-1000000	46.23074922707966
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	500000-550000	46.23074922707966
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1150000-1200000	44.304468009284676
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	350000-400000	44.304468009284676
distal_heterochromatin	centromere_3	3R_5	3L_10	600000-650000	42.37818679148969
proximal_heterochromatin	centromere_3	3R_5	3R_9	0-50000	42.37818679148969
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1550000-1600000	42.37818679148969
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2400000-2450000	42.37818679148969
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1100000-1150000	42.37818679148969
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	300000-350000	42.37818679148969
distal_heterochromatin	centromere_3	3R_5	3L_8	0-9398	40.99342876771623
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1350000-1400000	40.4519055736947
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	750000-800000	40.4519055736947
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	950000-1000000	40.4519055736947
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	900000-950000	38.52562435589972
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1400000-1450000	36.599343138104736
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1500000-1550000	36.599343138104736
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1400000-1450000	36.599343138104736
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	400000-450000	36.599343138104736
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	300000-350000	34.67306192030975
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	450000-500000	34.67306192030975
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	600000-650000	34.67306192030975
inter-proximal_heterochromatin	centromere_3	3R_5	Contig142	100000-150000	34.67306192030975
inter-proximal_heterochromatin	centromere_3	3R_5	Contig31	0-27958	34.449553219024715
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	750000-800000	32.74678070251476
inter-proximal_heterochromatin	centromere_3	3R_5	Contig142	50000-100000	32.74678070251476
proximal_heterochromatin	centromere_3	3R_5	3R_10	0-36246	31.88679387179252
distal_heterochromatin	centromere_3	3R_5	3L_10	1050000-1100000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	3L_10	350000-400000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	3L_10	500000-550000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	3L_4	900000-950000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1000000-1050000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1600000-1650000	30.820499484719775
distal_heterochromatin	centromere_3	3R_5	Contig94	0-12855	29.9693693939321
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	650000-700000	28.89421826692479
euchromatin	centromere_3	3R_5	2R_21	1700000-1750000	28.89421826692479
distal_heterochromatin	centromere_3	3R_5	3L_10	1200000-1250000	28.89421826692479
distal_heterochromatin	centromere_3	3R_5	3L_10	850000-900000	28.89421826692479
distal_heterochromatin	centromere_3	3R_5	3L_4	500000-550000	28.89421826692479
distal_heterochromatin	centromere_3	3R_5	3L_4	800000-850000	28.89421826692479
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1700000-1750000	28.89421826692479
distal_heterochromatin	centromere_3	3R_5	3L_4	1000000-1050000	26.9679370491298
distal_heterochromatin	centromere_3	3R_5	3L_4	400000-450000	26.9679370491298
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	650000-700000	26.9679370491298
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	850000-900000	26.9679370491298
euchromatin	centromere_3	3R_5	2L_2	50000-100000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3L_10	300000-350000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3L_4	600000-650000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1000000-1050000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1250000-1300000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1350000-1400000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1500000-1550000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	600000-650000	25.041655831334815
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1700000-1735083	24.707879828057568
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	150000-200000	21.189093395744845
distal_heterochromatin	centromere_3	3R_5	3L_4	1300000-1350000	21.189093395744845
distal_heterochromatin	centromere_3	3R_5	3L_4	450000-500000	21.189093395744845
euchromatin	centromere_3	3R_5	3R_28	400000-450000	21.189093395744845
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1600000-1650000	21.189093395744845
centromere	centromere_3	3R_5	Contig79	0-50000	21.189093395744845
centromere	centromere_3	3R_5	Y_Contig26	0-50000	21.189093395744845
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	750000-784897	19.319667198562772
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	150000-200000	19.26281217794986
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	550000-600000	19.26281217794986
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	600000-650000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_10	400000-450000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_10	900000-950000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_1	23450000-23500000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_1	23850000-23900000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_4	1400000-1450000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_4	1600000-1650000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_4	1650000-1700000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3L_4	700000-750000	19.26281217794986
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	200000-250000	19.26281217794986
euchromatin	centromere_3	3R_5	4_2	1150000-1200000	19.26281217794986
proximal_heterochromatin	centromere_3	3R_5	Contig11	200000-250000	19.26281217794986
euchromatin	centromere_3	3R_5	2L_2	500000-550000	17.336530960154874
euchromatin	centromere_3	3R_5	2R_21	1750000-1800000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3L_1	23200000-23250000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3L_1	23550000-23600000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3L_1	24250000-24300000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3L_4	550000-600000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	2000000-2050000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	500000-550000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	50000-100000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	550000-600000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1050000-1100000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1200000-1250000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1550000-1600000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	250000-300000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	700000-750000	17.336530960154874
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	900000-950000	17.336530960154874
euchromatin	centromere_3	3R_5	4_2	1250000-1300000	17.336530960154874
euchromatin	centromere_3	3R_5	4_2	400000-450000	17.336530960154874
euchromatin	centromere_3	3R_5	4_2	850000-900000	17.336530960154874
proximal_heterochromatin	centromere_3	3R_5	Contig11	50000-100000	17.336530960154874
euchromatin	centromere_3	3R_5	2L_2	850000-900000	15.410249742359888
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	200000-250000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_1	23950000-24000000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_4	1100000-1150000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_4	1500000-1550000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_4	1700000-1750000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_4	200000-250000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_4	750000-800000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3L_5	100000-150000	15.410249742359888
euchromatin	centromere_3	3R_5	3R_28	3600000-3650000	15.410249742359888
euchromatin	centromere_3	3R_5	3R_28	3650000-3700000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1050000-1100000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	150000-200000	15.410249742359888
distal_heterochromatin	centromere_3	3R_5	Contig101	0-50000	15.410249742359888
inter-proximal_heterochromatin	centromere_3	3R_5	Contig120	50000-98825	13.808467511075166
euchromatin	centromere_3	3R_5	2L_2	550000-600000	13.4839685245649
inter-distal_heterochromatin	centromere_3	3R_5	2R_19	50000-100000	13.4839685245649
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1150000-1200000	13.4839685245649
euchromatin	centromere_3	3R_5	2R_21	1950000-2000000	13.4839685245649
euchromatin	centromere_3	3R_5	3L_1	16950000-17000000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_1	22950000-23000000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_1	23300000-23350000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_1	23700000-23750000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_1	23800000-23850000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_1	24500000-24550000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_4	1750000-1800000	13.4839685245649
distal_heterochromatin	centromere_3	3R_5	3L_4	650000-700000	13.4839685245649
euchromatin	centromere_3	3R_5	3R_28	0-50000	13.4839685245649
euchromatin	centromere_3	3R_5	3R_28	2500000-2550000	13.4839685245649
euchromatin	centromere_3	3R_5	3R_28	2900000-2950000	13.4839685245649
euchromatin	centromere_3	3R_5	3R_28	3350000-3400000	13.4839685245649
euchromatin	centromere_3	3R_5	3R_28	3800000-3850000	13.4839685245649
euchromatin	centromere_3	3R_5	3R_28	5800000-5850000	13.4839685245649
euchromatin	centromere_3	3R_5	4_2	1200000-1250000	13.4839685245649
euchromatin	centromere_3	3R_5	4_2	50000-100000	13.4839685245649
euchromatin	centromere_3	3R_5	4_2	800000-850000	13.4839685245649
centromere	centromere_3	3R_5	tig00057289	0-24561	11.764267850219776
inter-distal_heterochromatin	centromere_3	3R_5	id=130011_0	0-16412	11.737029111595088
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	700000-724820	11.64150615105753
euchromatin	centromere_3	3R_5	2L_2	0-50000	11.557687306769916
euchromatin	centromere_3	3R_5	2L_2	150000-200000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2L_2	1950000-2000000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	200000-250000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	350000-400000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	400000-450000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	450000-500000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	550000-600000	11.557687306769916
euchromatin	centromere_3	3R_5	2R_21	16550000-16600000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	900000-950000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_10	450000-500000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_10	650000-700000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	17000000-17050000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	17050000-17100000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	17900000-17950000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	19950000-20000000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	20400000-20450000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	20500000-20550000	11.557687306769916
euchromatin	centromere_3	3R_5	3L_1	22800000-22850000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_1	23350000-23400000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_1	23500000-23550000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_1	23600000-23650000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_1	24050000-24100000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_1	24300000-24350000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_4	50000-100000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3L_5	150000-200000	11.557687306769916
euchromatin	centromere_3	3R_5	3R_28	3000000-3050000	11.557687306769916
euchromatin	centromere_3	3R_5	3R_28	50000-100000	11.557687306769916
euchromatin	centromere_3	3R_5	3R_28	6400000-6450000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	1300000-1350000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	700000-750000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1150000-1200000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1450000-1500000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	1650000-1700000	11.557687306769916
distal_heterochromatin	centromere_3	3R_5	3_scaffold2	800000-850000	11.557687306769916
euchromatin	centromere_3	3R_5	4_2	100000-150000	11.557687306769916
euchromatin	centromere_3	3R_5	4_2	1100000-1150000	11.557687306769916
inter-distal_heterochromatin	centromere_3	3R_5	X3X4_6_D1712_2	50000-67988	10.708701455386846
inter-distal_heterochromatin	centromere_3	3R_5	Y_Contig70	0-28820	10.02575234799611
centromere	centromere_3	3R_5	Y_Contig26	100000-139957	9.64177099279218
euchromatin	centromere_3	3R_5	2L_1	19750000-19800000	9.63140608897493
euchromatin	centromere_3	3R_5	2L_1	20150000-20200000	9.63140608897493
euchromatin	centromere_3	3R_5	2L_2	350000-400000	9.63140608897493
euchromatin	centromere_3	3R_5	2L_2	800000-850000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	700000-750000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	100000-150000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	250000-300000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	500000-550000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	600000-650000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_20	300000-350000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_20	800000-850000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1100000-1150000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1200000-1250000	9.63140608897493
euchromatin	centromere_3	3R_5	2R_21	1850000-1900000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	500000-550000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	650000-700000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_10	750000-800000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_10	950000-1000000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	10600000-10650000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	15100000-15150000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	16900000-16950000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	17300000-17350000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	20600000-20650000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	20750000-20800000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	21050000-21100000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	21350000-21400000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	21750000-21800000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_1	23900000-23950000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_1	24200000-24250000	9.63140608897493
euchromatin	centromere_3	3R_5	3L_1	9400000-9450000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_3	0-50000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_4	1050000-1100000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_4	1150000-1200000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_4	1200000-1250000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_4	250000-300000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3L_4	350000-400000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	100000-150000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	1250000-1300000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	2050000-2100000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	2100000-2150000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	2800000-2850000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	3100000-3150000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	4100000-4150000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	4300000-4350000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	500000-550000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	600000-650000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	7400000-7450000	9.63140608897493
euchromatin	centromere_3	3R_5	3R_28	900000-950000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	3_scaffold1	400000-450000	9.63140608897493
euchromatin	centromere_3	3R_5	4_2	1000000-1050000	9.63140608897493
euchromatin	centromere_3	3R_5	4_2	550000-600000	9.63140608897493
distal_heterochromatin	centromere_3	3R_5	Contig9	200000-250000	9.63140608897493
euchromatin	centromere_3	3R_5	X_1	19250000-19300000	9.63140608897493
euchromatin	centromere_3	3R_5	X_1	6000000-6050000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	Y_scaffold7	1500000-1550000	9.63140608897493
inter-distal_heterochromatin	centromere_3	3R_5	Y_Contig81	0-32099	9.001594525351193
inter-distal_heterochromatin	centromere_3	3R_5	X_9	0-35571	8.122970472273703
euchromatin	centromere_3	3R_5	2L_1	10450000-10500000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_1	18450000-18500000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_1	18500000-18550000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_1	6600000-6650000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_1	8400000-8450000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_2	100000-150000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_2	1150000-1200000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_2	1500000-1550000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2L_2	1700000-1750000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2L_2	1800000-1850000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_2	200000-250000	7.705124871179944
euchromatin	centromere_3	3R_5	2L_2	900000-950000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	250000-300000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_16	500000-550000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	350000-400000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	400000-450000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_18	450000-500000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_19	100000-150000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_20	1100000-1150000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_20	150000-200000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_20	500000-550000	7.705124871179944
euchromatin	centromere_3	3R_5	2R_21	12250000-12300000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1350000-1400000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1400000-1450000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	150000-200000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1550000-1600000	7.705124871179944
inter-distal_heterochromatin	centromere_3	3R_5	2R_21	1600000-1650000	7.705124871179944
euchromatin	centromere_3	3R_5	2R_21	1800000-1850000	7.705124871179944
euchromatin	centromere_3	3R_5	2R_21	20150000-20200000	7.705124871179944
euchromatin	centromere_3	3R_5	2R_21	3450000-3500000	7.705124871179944
euchromatin	centromere_3	3R_5	2R_21	4300000-4350000	7.705124871179944
euchromatin	centromere_3	3R_5	2R_21	8550000-8600000	7.705124871179944
distal_heterochromatin	centromere_3	3R_5	3L_10	700000-750000	7.705124871179944
euchromatin	centromere_3	3R_5	3L_1	1200000-1250000	7.705124871179944
euchromatin	centromere_3	3R_5	3L_1	12550000-12600000	7.705124871179944
