Transposon pos ChIP_R1 Input_R1 ChIP_R2 Input_R2 ChIP_R3 Input_R3 ChIP_R5 Input_R5 ChIP_CidGFP  Input_CidGFP
Jockey-3_DM	1	26732	2	24362	322	3834	64	10174	0	12	0
Jockey-3_DM	2	27054	2	25724	348	4025	67	10842	0	12	0
Jockey-3_DM	3	27207	2	26757	368	4141	70	11501	0	14	0
Jockey-3_DM	4	27305	2	27993	393	4278	75	11838	0	14	0
Jockey-3_DM	5	143279	192	124801	2690	20468	607	77488	104	19	0
Jockey-3_DM	6	143685	193	127125	2743	20669	617	77822	104	20	0
Jockey-3_DM	7	144749	193	128865	2785	20871	623	78064	104	39	3
Jockey-3_DM	8	160390	382	145727	3186	23652	723	89865	143	46	3
Jockey-3_DM	9	163293	382	147854	3246	23958	728	90494	144	516	6
Jockey-3_DM	10	163632	382	150263	3293	24177	734	90714	144	521	6
Jockey-3_DM	11	163714	382	151271	3310	24314	739	91727	144	567	8
Jockey-3_DM	12	163862	383	152510	3341	24453	747	92052	144	570	8
Jockey-3_DM	13	163909	383	153043	3351	24499	749	92065	145	572	8
Jockey-3_DM	14	167589	384	154740	3374	24791	759	93784	190	590	9
Jockey-3_DM	15	167835	384	155906	3394	24960	767	93883	190	593	11
Jockey-3_DM	16	167912	385	156783	3432	25086	771	93929	190	594	11
Jockey-3_DM	17	168496	385	158251	3478	25313	781	94589	190	596	11
Jockey-3_DM	18	169547	385	159334	3499	25483	786	95153	190	597	11
Jockey-3_DM	19	169606	385	160073	3515	25602	788	95822	190	598	11
Jockey-3_DM	20	169626	385	161133	3552	25745	794	95798	190	595	11
Jockey-3_DM	21	169681	385	162429	3628	25950	810	96437	190	594	11
Jockey-3_DM	22	178882	386	182518	3809	29405	865	110376	209	590	11
Jockey-3_DM	23	178924	390	183106	3823	29494	867	111119	209	591	11
Jockey-3_DM	24	177193	390	183507	3825	29512	870	110546	209	612	12
Jockey-3_DM	25	178599	390	184491	3840	29662	878	110245	209	631	13
Jockey-3_DM	26	177902	390	185590	3869	29791	881	109474	209	632	13
Jockey-3_DM	27	177926	390	185728	3886	29765	881	108287	209	637	13
Jockey-3_DM	28	177967	390	186271	3897	29855	883	108101	209	639	13
Jockey-3_DM	29	179144	390	186346	3900	29878	886	105613	209	641	13
Jockey-3_DM	30	179171	390	186034	3883	29764	882	102473	209	719	13
Jockey-3_DM	31	179197	390	186624	3897	29856	884	102188	209	718	13
Jockey-3_DM	32	180377	391	186718	3896	29857	885	100263	209	710	11
Jockey-3_DM	33	180592	392	186982	3910	29914	889	99744	209	708	11
Jockey-3_DM	34	180676	392	187140	3921	29915	890	98979	213	236	8
